Level,Date and Time,Source,Event ID,Task Category,Activity,Stage,DefenderResponse,Signature
7/17/2021 7:55:16 PM,ESENT,455,Logging/Recovery,"svchost (8328,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 7:45:45 PM,Service Control Manager,7000,,"The AppX Deployment Service (AppXSVC) service failed to start due to the following error: ,Normal,Benign,Benign,None
The service did not respond to the start or control request in a timely fashion.",Normal,Benign,Benign,
7/17/2021 7:45:45 PM,Service Control Manager,7009,,A timeout was reached (30000 milliseconds) while waiting for the AppX Deployment Service (AppXSVC) service to connect.,Normal,Benign,Benign,
7/17/2021 7:45:14 PM,ESENT,508,Performance,"qmgr.dll (1952,T,97) QmgrDatabaseInstance: A request to write to the file ""C:\ProgramData\Microsoft\Network\Downloader\qmgr.db"" at offset 0 (0x0000000000000000) for 16384 (0x00004000) bytes succeeded, but took an abnormally long time (17 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 7:34:15 PM,ESENT,455,Logging/Recovery,"svchost (7804,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 7:30:03 PM,ESENT,510,Performance,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edb.chk"" at offset 0 (0x0000000000000000) for 4096 (0x00001000) bytes succeeded, but took an abnormally long time (19 seconds) to be serviced by the OS. In addition, 0 other I/O requests to this file have also taken an abnormally long time to be serviced since the last message regarding this problem was posted 143 seconds ago. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 7:27:40 PM,ESENT,508,Performance,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edb.chk"" at offset 0 (0x0000000000000000) for 4096 (0x00001000) bytes succeeded, but took an abnormally long time (26 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 7:27:40 PM,ESENT,510,Performance,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edbtmp.log"" at offset 1179648 (0x0000000000120000) for 393216 (0x00060000) bytes succeeded, but took an abnormally long time (47 seconds) to be serviced by the OS. In addition, 0 other I/O requests to this file have also taken an abnormally long time to be serviced since the last message regarding this problem was posted 55 seconds ago. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 7:27:32 PM,ESENT,533,General,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edbtmp.log"" at offset 1179648 (0x0000000000120000) for 393216 (0x00060000) bytes has not completed for 36 second(s). This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 7:26:45 PM,ESENT,508,Performance,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edbtmp.log"" at offset 0 (0x0000000000000000) for 393216 (0x00060000) bytes succeeded, but took an abnormally long time (15 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 7:20:15 PM,ESENT,455,Logging/Recovery,"svchost (5664,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 7:04:15 PM,ESENT,455,Logging/Recovery,"svchost (6928,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 6:50:15 PM,ESENT,455,Logging/Recovery,"svchost (4388,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 6:49:10 PM,ESENT,508,Performance,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edbtmp.log"" at offset 1179648 (0x0000000000120000) for 393216 (0x00060000) bytes succeeded, but took an abnormally long time (56 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 6:48:54 PM,ESENT,533,General,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edbtmp.log"" at offset 1179648 (0x0000000000120000) for 393216 (0x00060000) bytes has not completed for 36 second(s). This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 6:46:46 PM,ESENT,508,Performance,"Catalog Database (2692,D,0) Catalog Database: A request to write to the file ""C:\WINDOWS\system32\CatRoot2\edbtmp.log"" at offset 786432 (0x00000000000c0000) for 393216 (0x00060000) bytes succeeded, but took an abnormally long time (28 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 6:34:39 PM,ESENT,455,Logging/Recovery,"svchost (1608,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 6:34:39 PM,ESENT,508,Performance,"taskhostw (2584,D,0) WebCacheLocal: A request to write to the file ""C:\Users\ansible\AppData\Local\Microsoft\Windows\WebCache\V01.chk"" at offset 0 (0x0000000000000000) for 4096 (0x00001000) bytes succeeded, but took an abnormally long time (15 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 6:27:46 PM,Microsoft-Windows-DistributedCOM,10005,,"DCOM got error ""1053"" attempting to start the service WaaSMedicSvc with arguments ""Unavailable"" in order to run the server:,Normal,Benign,Benign,None
{9EA82395-E31B-41CA-8DF7-EC1CEE7194DF}",Normal,Benign,Benign,
7/17/2021 6:26:38 PM,Service Control Manager,7000,,"The Windows Update Medic Service service failed to start due to the following error: ,Normal,Benign,Benign,None
The service did not respond to the start or control request in a timely fashion.",Normal,Benign,Benign,
7/17/2021 6:26:38 PM,Service Control Manager,7009,,A timeout was reached (30000 milliseconds) while waiting for the Windows Update Medic Service service to connect.,Normal,Benign,Benign,
7/17/2021 6:24:31 PM,ESENT,508,Performance,"qmgr.dll (1212,T,97) QmgrDatabaseInstance: A request to write to the file ""C:\ProgramData\Microsoft\Network\Downloader\qmgr.db"" at offset 0 (0x0000000000000000) for 16384 (0x00004000) bytes succeeded, but took an abnormally long time (21 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 6:20:15 PM,ESENT,455,Logging/Recovery,"svchost (8728,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 6:04:15 PM,ESENT,455,Logging/Recovery,"svchost (8272,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 6:03:53 PM,ESENT,508,Performance,"qmgr.dll (6860,D,0) QmgrDatabaseInstance: A request to write to the file ""C:\ProgramData\Microsoft\Network\Downloader\edb.log"" at offset 1073152 (0x0000000000106000) for 4096 (0x00001000) bytes succeeded, but took an abnormally long time (26 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 6:03:53 PM,ESENT,508,Performance,"taskhostw (2584,D,0) WebCacheLocal: A request to write to the file ""C:\Users\ansible\AppData\Local\Microsoft\Windows\WebCache\WebCacheV01.jfm"" at offset 0 (0x0000000000000000) for 8192 (0x00002000) bytes succeeded, but took an abnormally long time (33 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 5:58:39 PM,ESENT,508,Performance,"wuaueng.dll (4572,D,51) SUS20ClientDataStore: A request to write to the file ""C:\WINDOWS\SoftwareDistribution\DataStore\DataStore.edb"" at offset 0 (0x0000000000000000) for 16384 (0x00004000) bytes succeeded, but took an abnormally long time (19 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 5:55:57 PM,ESENT,455,Logging/Recovery,"svchost (6828,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 5:51:49 PM,ESENT,508,Performance,"qmgr.dll (8392,T,97) QmgrDatabaseInstance: A request to write to the file ""C:\ProgramData\Microsoft\Network\Downloader\qmgr.db"" at offset 0 (0x0000000000000000) for 16384 (0x00004000) bytes succeeded, but took an abnormally long time (28 seconds) to be serviced by the OS. This problem is likely due to faulty hardware. Please contact your hardware vendor for further assistance diagnosing the problem.",Normal,Benign,Benign,
7/17/2021 5:50:15 PM,ESENT,455,Logging/Recovery,"svchost (3624,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 5:34:15 PM,ESENT,455,Logging/Recovery,"svchost (3328,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 5:20:15 PM,ESENT,455,Logging/Recovery,"svchost (5236,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 5:04:15 PM,ESENT,455,Logging/Recovery,"svchost (5468,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 4:56:15 PM,ESENT,455,Logging/Recovery,"svchost (1124,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 4:50:15 PM,ESENT,455,Logging/Recovery,"svchost (6340,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 4:34:15 PM,ESENT,455,Logging/Recovery,"svchost (6288,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 4:20:15 PM,ESENT,455,Logging/Recovery,"svchost (7836,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 4:04:15 PM,ESENT,455,Logging/Recovery,"svchost (8712,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 3:50:15 PM,ESENT,455,Logging/Recovery,"svchost (2580,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 3:34:15 PM,ESENT,455,Logging/Recovery,"svchost (7664,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 3:20:15 PM,ESENT,455,Logging/Recovery,"svchost (1196,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 3:04:15 PM,ESENT,455,Logging/Recovery,"svchost (7368,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 2:50:15 PM,ESENT,455,Logging/Recovery,"svchost (7568,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 2:34:15 PM,ESENT,455,Logging/Recovery,"svchost (6040,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 2:20:15 PM,ESENT,455,Logging/Recovery,"svchost (7008,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 2:04:15 PM,ESENT,455,Logging/Recovery,"svchost (8652,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 1:56:15 PM,ESENT,455,Logging/Recovery,"svchost (8568,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 1:50:15 PM,ESENT,455,Logging/Recovery,"svchost (1532,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 1:34:15 PM,ESENT,455,Logging/Recovery,"svchost (3228,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 1:20:15 PM,ESENT,455,Logging/Recovery,"svchost (8408,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 1:04:15 PM,ESENT,455,Logging/Recovery,"svchost (6936,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 12:50:15 PM,ESENT,455,Logging/Recovery,"svchost (3880,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 12:34:15 PM,ESENT,455,Logging/Recovery,"svchost (2376,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 12:20:15 PM,ESENT,455,Logging/Recovery,"svchost (2412,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 12:04:15 PM,ESENT,455,Logging/Recovery,"svchost (7888,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 11:50:15 AM,ESENT,455,Logging/Recovery,"svchost (4564,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 11:34:15 AM,ESENT,455,Logging/Recovery,"svchost (7040,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 11:20:15 AM,ESENT,455,Logging/Recovery,"svchost (8164,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 11:04:15 AM,ESENT,455,Logging/Recovery,"svchost (7124,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 10:56:15 AM,ESENT,455,Logging/Recovery,"svchost (4544,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 10:50:15 AM,ESENT,455,Logging/Recovery,"svchost (9200,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 10:34:15 AM,ESENT,455,Logging/Recovery,"svchost (6640,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 10:20:15 AM,ESENT,455,Logging/Recovery,"svchost (8828,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 10:04:15 AM,ESENT,455,Logging/Recovery,"svchost (8316,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:56:51 AM,ESENT,455,Logging/Recovery,"svchost (2084,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:50:15 AM,ESENT,455,Logging/Recovery,"svchost (5608,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:34:15 AM,ESENT,455,Logging/Recovery,"svchost (3536,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:26:15 AM,ESENT,455,Logging/Recovery,"svchost (7636,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:20:15 AM,ESENT,455,Logging/Recovery,"svchost (6512,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 9:08:30 AM,ESENT,455,Logging/Recovery,"svchost (3060,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:50:15 AM,ESENT,455,Logging/Recovery,"svchost (5092,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:34:15 AM,ESENT,455,Logging/Recovery,"svchost (1532,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:20:15 AM,ESENT,455,Logging/Recovery,"svchost (7828,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
7/17/2021 8:04:15 AM,ESENT,455,Logging/Recovery,"svchost (4504,R,98) TILEREPOSITORYS-1-5-18: Error -1023 (0xfffffc01) occurred while opening logfile C:\WINDOWS\system32\config\systemprofile\AppData\Local\TileDataLayer\Database\EDB.log.",Normal,Benign,Benign,
